subject,modeldate,party,approve_estimate,disapprove_estimate,timestamp
Trump,2/10/2021,D,8.812404,88.85838,14:13:41 10 Feb 2021
Trump,2/28/2022,D,9.4143635,87.934516,10:58:10 28 Feb 2022
Trump,8/2/2021,R,76.792488,19.971529,10:10:56  2 Aug 2021
Trump,2/28/2022,I,35.912502,57.484054,10:58:14 28 Feb 2022
Trump,2/19/2021,D,8.770641,88.884887,13:50:09 19 Feb 2021
Biden,3/3/2022,R,18.232941,78.286307,12:22:13  4 Mar 2022
Trump,8/25/2021,I,35.912502,57.484054,10:20:15 25 Aug 2021
Trump,1/10/2021,D,10.125203,86.4999,12:25:14 11 Jan 2021
Trump,12/4/2020,all,39.745522,57.181734,09:05:31  4 Dec 2020
Trump,5/17/2020,D,12.895955,84.251982,12:20:06 17 May 2020
Biden,2/6/2021,D,88.80172,5.987051,11:08:08  8 Feb 2021
Biden,5/2/2022,R,19.562312,76.895511,09:13:10  2 May 2022
Biden,2/17/2022,all,44.532203,48.008879,09:13:20 17 Feb 2022
Trump,8/18/2021,all,38.942568,57.005674,09:10:27 18 Aug 2021
Trump,7/12/2021,all,38.942568,57.005674,20:56:08 12 Jul 2021
Trump,3/19/2020,all,46.37033,46.88491,17:45:45  2 Apr 2020
Trump,1/16/2022,all,38.940859,57.001143,21:45:42 17 Jan 2022
Trump,12/21/2020,R,80.817897,16.659066,19:30:17 21 Dec 2020
Trump,11/8/2020,D,6.435173,91.445946,08:40:18 10 Nov 2020
Biden,5/22/2022,all,48.742524,43.861079,09:46:22 23 May 2022
Trump,11/24/2021,R,76.792488,19.971529,09:09:17 24 Nov 2021
Trump,5/4/2021,D,9.4243706,87.920949,10:15:16  5 May 2021
Biden,3/5/2021,D,91.883068,5.2806057,19:55:06  5 Mar 2021
Trump,3/30/2020,I,45.27231,47.87676,17:45:14  2 Apr 2020
Biden,6/8/2022,R,18.414944,75.40759,14:09:10  8 Jun 2022
Biden,10/23/2021,D,85.347387,11.066971,15:40:10 25 Oct 2021
Trump,5/9/2020,R,83.553394,13.692882000000001,07:40:07  9 May 2020
Biden,11/28/2021,R,14.884332,81.131771,10:53:24 29 Nov 2021
Biden,12/18/2021,R,16.627059,79.222985,09:38:46 21 Dec 2021
Biden,11/6/2021,I,41.714877,47.955869,09:10:29  8 Nov 2021
Trump,10/15/2021,R,76.792488,19.971529,19:15:46 17 Oct 2021
Trump,3/21/2021,R,76.134851,20.298546,09:45:38 22 Mar 2021
Biden,8/6/2021,D,89.469626,8.0482761,20:55:07  6 Aug 2021
Trump,8/22/2020,D,8.316053,90.266071,10:40:09 23 Aug 2020
Trump,10/11/2021,R,76.792488,19.971529,09:41:09 13 Oct 2021
Biden,5/26/2022,R,19.494523,75.626204,09:02:16 27 May 2022
Trump,2/15/2020,D,27.09484,44.86655,17:45:13  2 Apr 2020
Trump,1/25/2021,D,8.812404,88.85838,11:08:52  8 Feb 2021
Biden,8/19/2021,I,51.086486,42.067516,08:15:12 19 Aug 2021
Biden,4/8/2021,R,30.762929,63.560918,08:50:15  8 Apr 2021
Trump,10/8/2020,R,82.458819,15.384265,09:25:14  8 Oct 2020
Biden,2/18/2022,all,44.532203,48.008879,08:46:13 22 Feb 2022
Trump,2/17/2021,R,76.134851,20.298546,12:25:18 17 Feb 2021
Trump,6/13/2021,D,9.4143635,87.934516,08:45:26 16 Jun 2021
Biden,1/27/2022,all,43.366497,50.418123,09:04:19 27 Jan 2022
Biden,5/1/2022,I,45.210034,47.727111,13:25:10  1 May 2022
Trump,5/27/2020,D,12.225327,85.261575,18:55:06 27 May 2020
Trump,10/2/2021,R,76.792488,19.971529,10:30:58  4 Oct 2021
Biden,1/24/2022,I,36.737483,55.873862,08:10:01 24 Jan 2022
Biden,2/7/2021,all,58.75785,29.08181,11:11:08  8 Feb 2021
Trump,4/23/2021,I,35.918727,57.488042,12:35:30 25 Apr 2021
Biden,6/4/2022,R,19.218922,75.557276,12:54:14  5 Jun 2022
Trump,6/27/2020,R,82.727446,15.073812,10:40:13 28 Jun 2020
Trump,9/2/2021,R,76.792488,19.971529,16:25:33  3 Sep 2021
Trump,3/24/2021,all,38.269632,57.854772,13:20:23 24 Mar 2021
Biden,1/20/2022,R,14.750382,82.009507,09:22:14 20 Jan 2022
Biden,10/22/2021,all,49.91989,43.270165,15:41:07 25 Oct 2021
Biden,12/14/2021,R,15.577494,79.92625,13:59:16 14 Dec 2021
Biden,7/5/2021,D,92.319343,5.4210935,11:50:08  6 Jul 2021
Biden,2/19/2021,I,53.638216,31.312279,13:50:10 19 Feb 2021
Biden,9/29/2021,D,85.591044,10.619532,09:40:08 29 Sep 2021
Trump,2/9/2022,I,35.912502,57.484054,12:33:13  9 Feb 2022
Trump,10/7/2021,D,9.4143635,87.934516,12:15:12  7 Oct 2021
Biden,3/24/2021,I,59.246738,33.59399,13:20:10 24 Mar 2021
Biden,1/15/2022,all,44.675292,48.013339,13:06:31 15 Jan 2022
Trump,9/9/2020,R,80.400358,16.832169,18:05:13  9 Sep 2020
Trump,8/26/2020,all,38.820232,58.047228,20:45:15 26 Aug 2020
Biden,12/7/2021,R,15.126387,80.792171,04:41:21  8 Dec 2021
Trump,2/16/2022,D,9.4143635,87.934516,14:02:10 16 Feb 2022
Trump,2/17/2022,R,76.792488,19.971529,09:13:18 17 Feb 2022
Biden,4/16/2021,I,60.202712,32.548744,15:55:10 16 Apr 2021
Trump,8/29/2020,D,8.6411445,89.905449,13:40:08 29 Aug 2020
Trump,4/19/2020,I,43.140919,50.460086,09:05:06 19 Apr 2020
Biden,6/6/2021,all,62.653095,32.638401,11:41:40  9 Jun 2021
Biden,6/23/2022,I,43.377377,44.834211,10:52:26 29 Jun 2022
Trump,9/15/2020,D,8.4369257,89.493771,20:20:09 15 Sep 2020
Trump,11/15/2020,R,83.028498,14.820612,03:35:39 16 Nov 2020
Trump,3/9/2020,all,42.34501,47.45365,17:45:48  2 Apr 2020
Biden,12/1/2021,all,48.254186,45.953602,13:08:18  1 Dec 2021
Trump,12/14/2020,D,9.0172171,89.591141,21:15:09 14 Dec 2020
Trump,5/8/2021,all,38.952622,57.001373,09:10:56 10 May 2021
Trump,2/6/2022,R,76.792488,19.971529,04:20:58  7 Feb 2022
Trump,3/16/2020,all,43.88717,49.0646,17:45:46  2 Apr 2020
Trump,9/26/2021,I,35.912502,57.484054,08:35:47 29 Sep 2021
Biden,2/15/2021,R,25.93876,61.83694,17:32:01 15 Feb 2021
Trump,12/15/2020,all,39.779305,57.031619,12:50:22 15 Dec 2020
Trump,11/21/2020,all,39.71382,57.113568,10:40:22 21 Nov 2020
Biden,6/2/2022,D,81.617221,14.364278,13:41:09  2 Jun 2022
Trump,6/19/2021,all,38.942568,57.005674,09:26:16 21 Jun 2021
Biden,5/30/2021,D,90.296764,7.2424326,23:25:09 31 May 2021
Trump,7/25/2020,R,78.349072,19.412061,09:40:17 26 Jul 2020
Biden,4/11/2022,all,49.129555,43.510006,20:04:15 11 Apr 2022
Biden,10/26/2021,I,42.7719,47.74873,09:30:19 27 Oct 2021
